Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-05-21,BITCOIN,3814,889,454,438542,0.8156504607582592,0.8748396623734533,0.798818227234664,0.0996577850132144,0.0352114547204724,0.0762611548490112,0.0846917538985317,0.0899488837795275,0.1249206179474372,71430.29700215145,1406288649446.611,35923476641.4359
2024-05-21,DOGE,1888,241,661,275905,0.8625558610805086,0.8592544371784231,0.8661488918988782,0.0857382325744173,0.0817642089377593,0.0893682367433518,0.0517059097833686,0.0589813567302904,0.0444828768840905,0.16523514235066838,23764211734.999756,1354274363.2073774
2024-05-21,ETH,4301,727,273,190308,0.9001536911206697,0.9029067301788172,0.8939990827285768,0.01923924200093,0.0195472863039889,0.02578151360029,0.0806070172215763,0.077545938130674,0.0802193566772232,3656.390090299324,439830728213.1206,27159496889.816044
2024-05-21,MAGA,7431,2753,593,226895,0.1637062324828421,0.0765188461024337,0.2693605934330417,0.809214541282869,0.9029495463131132,0.694705262307843,0.0270792559058,0.020531641045405,0.0359341651038696,8.265398142890986,384737239.34243196,7541551.1050226865
2024-05-21,NEAR,7507,741,377,697020,0.8928781417740776,0.8778146569635626,0.8800024895501022,0.0380085614058878,0.0507187970836707,0.051927928462717,0.0691132900271746,0.0714665311605938,0.0680695774753794,8.275441668918424,8909869547.513758,618299556.7766798
2024-05-21,PEPE,2307,522,241,211235,0.8194958611486779,0.7943669386590038,0.768295850861292,0.069403549916775,0.0691882094712643,0.1320917114432267,0.11110056427785,0.136444823045977,0.0996124211386607,1.123852659473937e-05,4716579977.076906,1357995454.9590888
2024-05-21,SOLANA,1039,275,576,117795,0.8406495275745909,0.8302130458545454,0.8710255202267498,0.0243264874196342,0.019871408150909,0.0284010106665011,0.1350239836130895,0.1499155492254545,0.1005734650623116,186.3249227218175,83636200098.33824,4223669415.40993
2024-05-21,XRP,6813,894,203,468448,0.8347313378746515,0.7889564653020135,0.8403153944668521,0.0436677513328196,0.0395883857841163,0.0438794529217597,0.1216008950720681,0.1714551287091722,0.1158051409846194,0.5372648118448927,29689383430.590553,1192240453.723039
2024-05-22,BITCOIN,1242,213,204,103724,0.5862998928132045,0.5555175887323943,0.6191122195150208,0.2950713199223027,0.3613036169882629,0.2481486271885774,0.1186287988872785,0.0831788112065727,0.1327391593565038,70189.8358177002,1382275470797.567,41105056578.01701
2024-05-22,DOGE,404,86,125,28997,0.9004870018712872,0.8903592343953488,0.8954728311400144,0.0438255124121287,0.0431353569883721,0.0461907861885884,0.0556874722537128,0.0665053885581395,0.0583363773536055,0.17077053450126758,24614228946.407322,2561530643.8211794
