Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-05-21,BITCOIN,3814,889,454,438542,0.8156504607582592,0.8748396623734533,0.798818227234664,0.09965778501321447,0.03521145472047244,0.07626115484901128,0.08469175389853173,0.08994888377952756,0.1249206179474372
2024-05-21,DOGE,1888,241,661,275905,0.8625558610805086,0.8592544371784231,0.8661488918988782,0.08573823257441737,0.08176420893775935,0.08936823674335188,0.05170590978336864,0.05898135673029046,0.044482876884090534
2024-05-21,ETH,4301,727,273,190308,0.9001536911206697,0.9029067301788173,0.8939990827285768,0.01923924200093002,0.019547286303988994,0.02578151360029006,0.08060701722157637,0.07754593813067401,0.08021935667722326
2024-05-21,MAGA,7431,2753,593,226895,0.16370623248284213,0.07651884610243372,0.26936059343304175,0.809214541282869,0.9029495463131131,0.694705262307843,0.02707925590580003,0.020531641045405013,0.035934165103869625
2024-05-21,NEAR,7507,741,377,697020,0.8928781417740776,0.8778146569635626,0.8800024895501022,0.038008561405887833,0.05071879708367071,0.051927928462717,0.06911329002717463,0.0714665311605938,0.06806957747537949
2024-05-21,PEPE,2307,522,241,211235,0.8194958611486779,0.7943669386590038,0.768295850861292,0.06940354991677504,0.06918820947126438,0.13209171144322676,0.11110056427785003,0.136444823045977,0.09961242113866074
2024-05-21,SOLANA,1039,275,576,117795,0.8406495275745909,0.8302130458545454,0.8710255202267498,0.024326487419634266,0.01987140815090909,0.028401010666501126,0.1350239836130895,0.14991554922545453,0.10057346506231163
2024-05-21,XRP,6813,894,203,468448,0.8347313378746515,0.7889564653020135,0.8403153944668521,0.04366775133281961,0.03958838578411633,0.043879452921759717,0.1216008950720681,0.17145512870917226,0.11580514098461943
2024-05-22,BITCOIN,1242,213,204,103724,0.5862998928132045,0.5555175887323943,0.6191122195150208,0.29507131992230273,0.3613036169882629,0.24814862718857741,0.11862879888727856,0.08317881120657276,0.1327391593565038
2024-05-22,DOGE,404,86,125,28997,0.9004870018712872,0.8903592343953488,0.8954728311400144,0.04382551241212871,0.0431353569883721,0.046190786188588476,0.055687472253712886,0.06650538855813955,0.05833637735360554
2024-05-22,ETH,1198,157,340,151343,0.8769531408013355,0.8727840631847134,0.8915790144013929,0.040511058270450755,0.03702580884713376,0.031833417022752955,0.08253581305175293,0.09019014204458599,0.07658754825934466
2024-05-22,MAGA,1542,236,183,45659,0.5941576278145265,0.5897783675,0.6603022027127183,0.35361980773865115,0.34321256692796615,0.2877677240613679,0.05222253290920882,0.06700903549152543,0.05193003820326769
2024-05-22,NEAR,1195,255,113,155099,0.6550846400125523,0.6307476041176471,0.6659010513309951,0.2407126708008368,0.2669182392392157,0.2427417108690707,0.10420271092887029,0.10233419258039217,0.09135726484948324
2024-05-22,PEPE,1569,320,297,165032,0.840758404206501,0.8386680930624999,0.8884845690865771,0.06817621628808158,0.05930327780625,0.04555335829666368,0.09106534451497768,0.1020285960375,0.06596203585852439
2024-05-22,SOLANA,1181,269,207,73865,0.8785622675613886,0.8868166714126394,0.9035208371499356,0.029639383226502967,0.023274946925650557,0.031523131941657075,0.09179835755884844,0.08990838413011153,0.0649560303686455
